uid,area,outages,customers,percent_out,dt_stamp
Allegany2023-02-26T08:30:34,Allegany,0,37530,0.00,02/26/2023 08:30:34 AM
Anne_Arundel2023-02-26T08:30:34,Anne Arundel,0,260037,0.00,02/26/2023 08:30:34 AM
Baltimore2023-02-26T08:30:34,Baltimore,54,375845,0.01,02/26/2023 08:30:34 AM
Baltimore_City2023-02-26T08:30:34,Baltimore City,0,281977,0.00,02/26/2023 08:30:34 AM
Calvert2023-02-26T08:30:34,Calvert,0,41830,0.00,02/26/2023 08:30:34 AM
Caroline2023-02-26T08:30:34,Caroline,0,16241,0.00,02/26/2023 08:30:34 AM
Carroll2023-02-26T08:30:34,Carroll,4,76245,0.01,02/26/2023 08:30:34 AM
Cecil2023-02-26T08:30:34,Cecil,0,50237,0.00,02/26/2023 08:30:34 AM
Charles2023-02-26T08:30:34,Charles,1,70724,0.00,02/26/2023 08:30:34 AM
Dorchester2023-02-26T08:30:34,Dorchester,0,19781,0.00,02/26/2023 08:30:34 AM
Frederick2023-02-26T08:30:34,Frederick,0,116399,0.00,02/26/2023 08:30:34 AM
Garrett2023-02-26T08:30:34,Garrett,0,20466,0.00,02/26/2023 08:30:34 AM
Harford2023-02-26T08:30:34,Harford,0,113318,0.00,02/26/2023 08:30:34 AM
Howard2023-02-26T08:30:34,Howard,0,136890,0.00,02/26/2023 08:30:34 AM
Kent2023-02-26T08:30:34,Kent,0,12300,0.00,02/26/2023 08:30:34 AM
Montgomery2023-02-26T08:30:34,Montgomery,0,382870,0.00,02/26/2023 08:30:34 AM
Prince_George's2023-02-26T08:30:34,Prince George's,0,347865,0.00,02/26/2023 08:30:34 AM
Queen_Anne's2023-02-26T08:30:34,Queen Anne's,0,27211,0.00,02/26/2023 08:30:34 AM
Somerset2023-02-26T08:30:34,Somerset,0,11440,0.00,02/26/2023 08:30:34 AM
St._Mary's2023-02-26T08:30:34,St. Mary's,2,55803,0.00,02/26/2023 08:30:34 AM
Talbot2023-02-26T08:30:34,Talbot,0,23602,0.00,02/26/2023 08:30:34 AM
Washington2023-02-26T08:30:34,Washington,0,54073,0.00,02/26/2023 08:30:34 AM
Allegany2023-02-14T10:15:36,Allegany,5,37533,0.01,02/14/2023 10:15:36 AM
Anne_Arundel2023-02-14T10:15:36,Anne Arundel,6,259981,0.00,02/14/2023 10:15:36 AM
Baltimore2023-02-14T10:15:36,Baltimore,79,375675,0.02,02/14/2023 10:15:36 AM
Baltimore_City2023-02-14T10:15:36,Baltimore City,217,281477,0.08,02/14/2023 10:15:36 AM
Calvert2023-02-14T10:15:36,Calvert,1,41818,0.00,02/14/2023 10:15:36 AM
Caroline2023-02-14T10:15:36,Caroline,2,16244,0.01,02/14/2023 10:15:36 AM
Carroll2023-02-14T10:15:36,Carroll,0,76220,0.00,02/14/2023 10:15:36 AM
Cecil2023-02-14T10:15:36,Cecil,1,50232,0.00,02/14/2023 10:15:36 AM
Charles2023-02-14T10:15:36,Charles,0,70731,0.00,02/14/2023 10:15:36 AM
Dorchester2023-02-14T10:15:36,Dorchester,0,19786,0.00,02/14/2023 10:15:36 AM
Frederick2023-02-14T10:15:36,Frederick,1,116320,0.00,02/14/2023 10:15:36 AM
Garrett2023-02-14T10:15:36,Garrett,0,20466,0.00,02/14/2023 10:15:36 AM
Harford2023-02-14T10:15:36,Harford,4,113302,0.00,02/14/2023 10:15:36 AM
Howard2023-02-14T10:15:36,Howard,0,137526,0.00,02/14/2023 10:15:36 AM
Kent2023-02-14T10:15:36,Kent,0,12296,0.00,02/14/2023 10:15:36 AM
Montgomery2023-02-14T10:15:36,Montgomery,29,382984,0.01,02/14/2023 10:15:36 AM
Prince_George's2023-02-14T10:15:36,Prince George's,12,347787,0.00,02/14/2023 10:15:36 AM
Queen_Anne's2023-02-14T10:15:36,Queen Anne's,0,27187,0.00,02/14/2023 10:15:36 AM
Somerset2023-02-14T10:15:36,Somerset,0,11419,0.00,02/14/2023 10:15:36 AM
St._Mary's2023-02-14T10:15:36,St. Mary's,0,55824,0.00,02/14/2023 10:15:36 AM
Talbot2023-02-14T10:15:36,Talbot,17,23605,0.07,02/14/2023 10:15:36 AM
Washington2023-02-14T10:15:36,Washington,1,54074,0.00,02/14/2023 10:15:36 AM
Wicomico2023-02-14T10:15:36,Wicomico,0,49829,0.00,02/14/2023 10:15:36 AM
Allegany2023-02-16T06:00:35,Allegany,0,37532,0.00,02/16/2023 06:00:35 AM
Wicomico2023-02-26T08:30:34,Wicomico,5,49910,0.01,02/26/2023 08:30:34 AM
Anne_Arundel2023-02-16T06:00:35,Anne Arundel,4,259936,0.00,02/16/2023 06:00:35 AM
Baltimore2023-02-16T06:00:35,Baltimore,4,375666,0.00,02/16/2023 06:00:35 AM
Baltimore_City2023-02-16T06:00:35,Baltimore City,0,281679,0.00,02/16/2023 06:00:35 AM
Calvert2023-02-16T06:00:35,Calvert,0,41820,0.00,02/16/2023 06:00:35 AM
Caroline2023-02-16T06:00:35,Caroline,0,16249,0.00,02/16/2023 06:00:35 AM
Carroll2023-02-16T06:00:35,Carroll,0,76230,0.00,02/16/2023 06:00:35 AM
Cecil2023-02-16T06:00:35,Cecil,0,50238,0.00,02/16/2023 06:00:35 AM
Charles2023-02-16T06:00:35,Charles,0,70731,0.00,02/16/2023 06:00:35 AM
Dorchester2023-02-16T06:00:35,Dorchester,0,19787,0.00,02/16/2023 06:00:35 AM
Frederick2023-02-16T06:00:35,Frederick,0,116399,0.00,02/16/2023 06:00:35 AM
Garrett2023-02-16T06:00:35,Garrett,0,20466,0.00,02/16/2023 06:00:35 AM
Harford2023-02-16T06:00:35,Harford,0,113304,0.00,02/16/2023 06:00:35 AM
Howard2023-02-16T06:00:35,Howard,0,137509,0.00,02/16/2023 06:00:35 AM
Kent2023-02-16T06:00:35,Kent,0,12297,0.00,02/16/2023 06:00:35 AM
Worcester2023-02-26T08:30:34,Worcester,0,59681,0.00,02/26/2023 08:30:34 AM
Montgomery2023-02-16T06:00:35,Montgomery,0,382964,0.00,02/16/2023 06:00:35 AM
Prince_George's2023-02-16T06:00:35,Prince George's,4,347782,0.00,02/16/2023 06:00:35 AM
Queen_Anne's2023-02-16T06:00:35,Queen Anne's,0,27194,0.00,02/16/2023 06:00:35 AM
Somerset2023-02-16T06:00:35,Somerset,0,11433,0.00,02/16/2023 06:00:35 AM
St._Mary's2023-02-16T06:00:35,St. Mary's,0,55824,0.00,02/16/2023 06:00:35 AM
Talbot2023-02-16T06:00:35,Talbot,0,23608,0.00,02/16/2023 06:00:35 AM
Washington2023-02-16T06:00:35,Washington,0,54074,0.00,02/16/2023 06:00:35 AM
Wicomico2023-02-16T06:00:35,Wicomico,0,49833,0.00,02/16/2023 06:00:35 AM
Worcester2023-02-16T06:00:35,Worcester,0,59671,0.00,02/16/2023 06:00:35 AM
Carroll2023-02-17T22:00:38,Carroll,0,76231,0.00,02/17/2023 10:00:38 PM
Cecil2023-02-17T22:00:38,Cecil,6,50225,0.01,02/17/2023 10:00:38 PM
Charles2023-02-17T22:00:38,Charles,16,70731,0.02,02/17/2023 10:00:38 PM
Dorchester2023-02-17T22:00:38,Dorchester,0,19730,0.00,02/17/2023 10:00:38 PM
Frederick2023-02-17T22:00:38,Frederick,10,116399,0.01,02/17/2023 10:00:38 PM
Garrett2023-02-17T22:00:38,Garrett,0,20466,0.00,02/17/2023 10:00:38 PM
Allegany2023-02-18T08:45:36,Allegany,0,37532,0.00,02/18/2023 08:45:36 AM
Allegany2023-02-20T12:00:38,Allegany,1,37531,0.00,02/20/2023 12:00:38 PM
Anne_Arundel2023-02-20T12:00:38,Anne Arundel,6,259986,0.00,02/20/2023 12:00:38 PM
Baltimore2023-02-20T12:00:38,Baltimore,112,375742,0.03,02/20/2023 12:00:38 PM
Baltimore_City2023-02-20T12:00:38,Baltimore City,4,281733,0.00,02/20/2023 12:00:38 PM
Calvert2023-02-20T12:00:38,Calvert,0,41821,0.00,02/20/2023 12:00:38 PM
Worcester2023-02-14T10:15:36,Worcester,11,59662,0.02,02/14/2023 10:15:36 AM
Allegany2023-02-14T10:30:38,Allegany,1,37533,0.00,02/14/2023 10:30:38 AM
Anne_Arundel2023-02-14T10:30:38,Anne Arundel,5,259981,0.00,02/14/2023 10:30:38 AM
Baltimore2023-02-14T10:30:38,Baltimore,80,375675,0.02,02/14/2023 10:30:38 AM
Baltimore_City2023-02-14T10:30:38,Baltimore City,217,281477,0.08,02/14/2023 10:30:38 AM
Calvert2023-02-14T10:30:38,Calvert,2,41818,0.00,02/14/2023 10:30:38 AM
Caroline2023-02-14T10:30:38,Caroline,1,16243,0.01,02/14/2023 10:30:38 AM
Carroll2023-02-14T10:30:38,Carroll,0,76220,0.00,02/14/2023 10:30:38 AM
Cecil2023-02-14T10:30:38,Cecil,0,50232,0.00,02/14/2023 10:30:38 AM
Charles2023-02-14T10:30:38,Charles,0,70731,0.00,02/14/2023 10:30:38 AM
Dorchester2023-02-14T10:30:38,Dorchester,0,19786,0.00,02/14/2023 10:30:38 AM
Frederick2023-02-14T10:30:38,Frederick,1,116320,0.00,02/14/2023 10:30:38 AM
Garrett2023-02-14T10:30:38,Garrett,0,20466,0.00,02/14/2023 10:30:38 AM
Harford2023-02-14T10:30:38,Harford,4,113302,0.00,02/14/2023 10:30:38 AM
Howard2023-02-14T10:30:38,Howard,0,137526,0.00,02/14/2023 10:30:38 AM
Anne_Arundel2023-02-18T08:45:36,Anne Arundel,141,259974,0.05,02/18/2023 08:45:36 AM
Caroline2023-02-20T12:00:38,Caroline,27,16241,0.17,02/20/2023 12:00:38 PM
Carroll2023-02-20T12:00:38,Carroll,1,76237,0.00,02/20/2023 12:00:38 PM
Cecil2023-02-20T12:00:38,Cecil,4,50236,0.01,02/20/2023 12:00:38 PM
Charles2023-02-20T12:00:38,Charles,2,70731,0.00,02/20/2023 12:00:38 PM
Dorchester2023-02-20T12:00:38,Dorchester,0,19784,0.00,02/20/2023 12:00:38 PM
Frederick2023-02-20T12:00:38,Frederick,47,116399,0.04,02/20/2023 12:00:38 PM
Garrett2023-02-20T12:00:38,Garrett,1,20466,0.00,02/20/2023 12:00:38 PM
Harford2023-02-20T12:00:38,Harford,4,113307,0.00,02/20/2023 12:00:38 PM
Howard2023-02-20T12:00:38,Howard,0,136860,0.00,02/20/2023 12:00:38 PM
Kent2023-02-20T12:00:38,Kent,0,12299,0.00,02/20/2023 12:00:38 PM
Montgomery2023-02-20T12:00:38,Montgomery,10,382965,0.00,02/20/2023 12:00:38 PM
Prince_George's2023-02-20T12:00:38,Prince George's,30,347801,0.01,02/20/2023 12:00:38 PM
Queen_Anne's2023-02-20T12:00:38,Queen Anne's,4,27199,0.01,02/20/2023 12:00:38 PM
Somerset2023-02-20T12:00:38,Somerset,1,11430,0.01,02/20/2023 12:00:38 PM
St._Mary's2023-02-20T12:00:38,St. Mary's,3,55824,0.01,02/20/2023 12:00:38 PM
Talbot2023-02-20T12:00:38,Talbot,5,23603,0.02,02/20/2023 12:00:38 PM
Washington2023-02-20T12:00:38,Washington,0,54074,0.00,02/20/2023 12:00:38 PM
Baltimore2023-02-18T08:45:36,Baltimore,19,375732,0.01,02/18/2023 08:45:36 AM
Baltimore_City2023-02-18T08:45:36,Baltimore City,115,281705,0.04,02/18/2023 08:45:36 AM
Calvert2023-02-18T08:45:36,Calvert,0,41821,0.00,02/18/2023 08:45:36 AM
Caroline2023-02-18T08:45:36,Caroline,0,16248,0.00,02/18/2023 08:45:36 AM
Carroll2023-02-18T08:45:36,Carroll,0,76232,0.00,02/18/2023 08:45:36 AM
Cecil2023-02-18T08:45:36,Cecil,28,50234,0.06,02/18/2023 08:45:36 AM
Kent2023-02-14T10:30:38,Kent,0,12296,0.00,02/14/2023 10:30:38 AM
Allegany2023-02-16T06:15:35,Allegany,0,37532,0.00,02/16/2023 06:15:35 AM
Anne_Arundel2023-02-16T06:15:35,Anne Arundel,4,259936,0.00,02/16/2023 06:15:35 AM
Baltimore2023-02-16T06:15:35,Baltimore,4,375666,0.00,02/16/2023 06:15:35 AM
Baltimore_City2023-02-16T06:15:35,Baltimore City,4,281679,0.00,02/16/2023 06:15:35 AM
Calvert2023-02-16T06:15:35,Calvert,0,41820,0.00,02/16/2023 06:15:35 AM
Caroline2023-02-16T06:15:35,Caroline,0,16249,0.00,02/16/2023 06:15:35 AM
Carroll2023-02-16T06:15:35,Carroll,0,76230,0.00,02/16/2023 06:15:35 AM
Cecil2023-02-16T06:15:35,Cecil,0,50238,0.00,02/16/2023 06:15:35 AM
Charles2023-02-16T06:15:35,Charles,0,70731,0.00,02/16/2023 06:15:35 AM
Dorchester2023-02-16T06:15:35,Dorchester,0,19787,0.00,02/16/2023 06:15:35 AM
Frederick2023-02-16T06:15:35,Frederick,0,116399,0.00,02/16/2023 06:15:35 AM
Allegany2023-02-26T08:45:34,Allegany,0,37530,0.00,02/26/2023 08:45:34 AM
Montgomery2023-02-14T10:30:38,Montgomery,30,382984,0.01,02/14/2023 10:30:38 AM
Garrett2023-02-16T06:15:35,Garrett,0,20466,0.00,02/16/2023 06:15:35 AM
Harford2023-02-16T06:15:35,Harford,0,113304,0.00,02/16/2023 06:15:35 AM
Howard2023-02-16T06:15:35,Howard,0,137509,0.00,02/16/2023 06:15:35 AM
Kent2023-02-16T06:15:35,Kent,0,12297,0.00,02/16/2023 06:15:35 AM
Montgomery2023-02-16T06:15:35,Montgomery,0,382964,0.00,02/16/2023 06:15:35 AM
Prince_George's2023-02-16T06:15:35,Prince George's,4,347782,0.00,02/16/2023 06:15:35 AM
Queen_Anne's2023-02-16T06:15:35,Queen Anne's,0,27194,0.00,02/16/2023 06:15:35 AM
Washington2023-02-22T07:00:36,Washington,0,54073,0.00,02/22/2023 07:00:36 AM
Somerset2023-02-16T06:15:35,Somerset,0,11433,0.00,02/16/2023 06:15:35 AM
St._Mary's2023-02-16T06:15:35,St. Mary's,0,55824,0.00,02/16/2023 06:15:35 AM
Talbot2023-02-16T06:15:35,Talbot,0,23608,0.00,02/16/2023 06:15:35 AM
Washington2023-02-16T06:15:35,Washington,0,54074,0.00,02/16/2023 06:15:35 AM
Wicomico2023-02-16T06:15:35,Wicomico,0,49833,0.00,02/16/2023 06:15:35 AM
Worcester2023-02-16T06:15:35,Worcester,0,59671,0.00,02/16/2023 06:15:35 AM
Allegany2023-02-16T06:30:34,Allegany,0,37532,0.00,02/16/2023 06:30:34 AM
Anne_Arundel2023-02-16T06:30:34,Anne Arundel,4,259936,0.00,02/16/2023 06:30:34 AM
Baltimore2023-02-16T06:30:34,Baltimore,4,375666,0.00,02/16/2023 06:30:34 AM
Baltimore_City2023-02-16T06:30:34,Baltimore City,4,281679,0.00,02/16/2023 06:30:34 AM
Calvert2023-02-16T06:30:34,Calvert,0,41820,0.00,02/16/2023 06:30:34 AM
Caroline2023-02-16T06:30:34,Caroline,0,16249,0.00,02/16/2023 06:30:34 AM
Carroll2023-02-16T06:30:34,Carroll,0,76230,0.00,02/16/2023 06:30:34 AM
Cecil2023-02-16T06:30:34,Cecil,0,50238,0.00,02/16/2023 06:30:34 AM
Charles2023-02-16T06:30:34,Charles,0,70731,0.00,02/16/2023 06:30:34 AM
Dorchester2023-02-16T06:30:34,Dorchester,0,19787,0.00,02/16/2023 06:30:34 AM
Frederick2023-02-16T06:30:34,Frederick,0,116399,0.00,02/16/2023 06:30:34 AM
Garrett2023-02-16T06:30:34,Garrett,0,20466,0.00,02/16/2023 06:30:34 AM
